"UniqueSite","Site_Lat","Site_Long","Year","Targeted.biomass","PA_tp","Atoll","DepthCategory","CleanHabitat","Protection","CensusMethod","Total.sampling.Area","gravtot_500km","MPAage","NTZarea","Regional_population_growth","Ocean_prod","Climate_stress","HDI","Larger_pop_size","spatialcatch_tkm2","Larger_2","SocialSIte4km"
8637,15.25888,145.81442,2009,116.2572037,0,0,">10m","Slope","UnfishedHigh","Standard belt transect",400,7.65094812,8,1.57,31.54789897,118.3767702,0.70503343,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_264"
8640,15.17602,145.78762,2009,198.6272121,0,0,">10m","Slope","UnfishedHigh","Standard belt transect",400,420.1282444,9,2.53433,31.54789897,116.3654147,0.708661988,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_265"
8643,15.156,145.76963,2009,118.3887978,0,0,">10m","Slope","Fished","Standard belt transect",400,10.56895462,0,0,31.54789897,116.3654147,0.708661988,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_265"
8646,15.25533,145.7221,2009,99.36681355,0,0,">10m","Slope","Fished","Standard belt transect",400,24.54043651,0,0,31.54789897,117.9834102,0.706766496,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_266"
8649,15.09862,145.74465,2009,174.3149464,0,0,">10m","Slope","Fished","Standard belt transect",400,45.13513332,0,0,31.54789292,116.8618756,0.711026096,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_267"
8652,15.1566,145.69017,2009,73.49360095,0,0,">10m","Slope","Fished","Standard belt transect",400,1100.801811,0,0,31.54789292,117.8198594,0.709383601,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_268"
8655,15.10805,145.70627,2009,200.9664119,0,0,">10m","Slope","Fished","Standard belt transect",400,181.6009603,0,0,31.54789292,116.2043918,0.710307173,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_269"
8658,15.27353,145.79122,2009,71.27114757,0,0,"4-10m","Slope","Fished","Standard belt transect",400,13.39509679,0,0,31.54789897,118.3767702,0.70503343,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_264"
8659,15.219063,145.7864332,2009,69.14533636,0,0,">10m","Slope","Fished","Standard belt transect",400,11.5229479,0,0,31.54789897,118.29449,0.707105058,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_270"
8662,16.69883,145.77118,2009,225.4503449,0,0,">10m","Slope","Fished","Standard belt transect",400,0.229771623,0,0,33.33332745,130.5572144,0.644884766,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_271"
8665,16.7164,145.77527,2009,189.005972,0,0,">10m","Slope","Fished","Standard belt transect",400,0.225839223,0,0,33.33332745,130.5572144,0.644884766,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_271"
8668,16.6986,145.7886,2009,333.1081471,0,0,">10m","Slope","Fished","Standard belt transect",400,0.228622887,0,0,33.33332745,130.5572144,0.644884766,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_271"
8669,12.8128,144.42485,2005,60.6568571,0,1,">10m","Slope","Fished","Standard belt transect",600,1.229914272,0,0,18.71771961,101.1937635,0.751328057,0.901,162810,0.342412262455831,"Guam","Williams_old_272"
8670,12.8113,144.42387,2005,83.07154706,0,1,">10m","Slope","Fished","Standard belt transect",600,1.208180109,0,0,18.71771961,101.1937635,0.751328057,0.901,162810,0.342412262455831,"Guam","Williams_old_272"
8672,-11.05761,-171.09133,2008,104.0096764,1,0,">10m","Slope","Fished","Standard belt transect",400,0.23573632,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8674,-11.06432,-171.08653,2008,99.42678363,0,0,">10m","Slope","Fished","Standard belt transect",400,0.188298352,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8676,-11.0559,-171.0919,2008,324.1024567,1,0,">10m","Slope","Fished","Standard belt transect",400,0.23573632,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8678,-11.04762,-171.08685,2008,878.5181311,0,0,">10m","Slope","Fished","Standard belt transect",400,0.221724774,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8680,-11.05137,-171.06568,2008,191.7320489,0,0,">10m","Slope","Fished","Standard belt transect",200,0.216793089,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8682,-11.04588,-171.07655,2008,29.21949382,0,0,">10m","Slope","Fished","Standard belt transect",400,0.208284352,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8684,-11.0635,-171.0707,2008,16.24025105,1,0,">10m","Slope","Fished","Standard belt transect",400,0.222994992,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8686,-11.050833,-171.092233,2008,45.75600494,0,0,">10m","Slope","Fished","Standard belt transect",200,0.221724774,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8687,-11.046217,-171.0813,2008,278.1651139,0,0,">10m","Slope","Fished","Standard belt transect",400,0.208284352,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8688,-11.048767,-171.08942,2008,146.9722315,0,0,"4-10m","Slope","Fished","Standard belt transect",400,0.221724774,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8689,-11.046117,-171.07835,2008,333.1684512,1,0,"4-10m","Slope","Fished","Standard belt transect",400,0.208284352,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8690,-11.048683,-171.06735,2008,422.1794684,1,0,">10m","Slope","Fished","Standard belt transect",400,0.184183428,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8691,-11.065183,-171.07283,2008,292.6191935,0,0,">10m","Slope","Fished","Standard belt transect",400,0.222994992,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8692,-11.061817,-171.08908,2008,600.1619436,0,0,">10m","Slope","Fished","Standard belt transect",400,0.23573632,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8693,-11.06645,-171.08373,2008,382.2751476,0,0,"0-4m","Slope","Fished","Standard belt transect",400,0.188298352,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8694,-11.054617,-171.09183,2008,266.4136492,0,0,"4-10m","Slope","Fished","Standard belt transect",400,0.23573632,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8695,-11.050583,-171.09225,2008,289.1972827,0,0,">10m","Slope","Fished","Standard belt transect",400,0.221724774,0,0,60.90910272,135.7820799,0.744787544,0.827,55128,1.38972724194652,"American Samoa","Williams_old_273"
8696,-14.24713,-169.41892,2008,281.2617331,0,0,">10m","Slope","Fished","Standard belt transect",400,1.449487292,0,0,-14.26562446,121.3622692,0.685482698,0.827,55128,1.38972724194652,"American Samoa","Williams_old_274"
